AVG Vine Star_Rating,AVG Non-Vine Star Rating: ,Pearson Corr,Kendall Corr,Spearmen Corr,Biserial Corr,P-value
4.371794871794871,4.343096981603858,0.00603483567443501,-0.031062378427142733,-0.03281905652103303,0.006034835674435312,0.6427319046980167
Product ID,Avg Vine SR,Avg NonVine SR
B00169N0BK,4.666666666666667,3.82
B001TZQITM,4.733333333333333,4.454545454545454
B002VPE1WK,4.333333333333333,4.5091317785894915
B002VPE1X4,4.566666666666666,4.117647058823529
B002VPE1XE,4.133333333333334,3.7254901960784315
B002VPE1XY,4.3,4.153846153846154
B002VPE1YS,4.285714285714286,4.378378378378378
B002VPE1Z2,4.333333333333333,4.107142857142857
B0032FPVKE,4.857142857142857,4.096153846153846
B003ES61EE,4.3,4.017964071856287
B004DMNT2W,4.333333333333333,4.466666666666667
B004JMZPJG,4.454545454545454,4.52808988764045
B004R739LE,4.444444444444445,4.230769230769231
B0055MBQOM,3.5,3.966417910447761
B008MWBY6W,4.5,3.912962962962963
B009APMNB0,4.315789473684211,3.6907894736842106
B009SKPVO8,4.333333333333333,4.320987654320987
