AVG Vine Star_Rating,AVG Non-Vine Star Rating: ,Pearson Corr,Kendall Corr,Spearmen Corr,Biserial Corr,P-value
4.046728971962617,4.275585879560961,-0.05278897729795028,-0.11901324807844237,-0.12631750789632143,-0.05278897729795013,0.0013333375708969339
Product ID,Avg Vine SR,Avg NonVine SR
B005H29GSI,4.0476190476190474,4.0215827338129495
B005XLN97M,4.714285714285714,4.433155080213904
B006O6F932,3.8666666666666667,4.185944363103953
B006O7XOOW,3.64,3.5660377358490565
B0073RSVMC,4.8,4.764705882352941
B007FRHZ4A,3.6363636363636362,3.7142857142857144
B007S3S8HO,2.789473684210526,3.326530612244898
B0083TXXZ4,4.291666666666667,4.066265060240964
B008B68IUY,4.2,4.7894736842105265
B008B68J2G,4.2727272727272725,4.835051546391752
B00B1D7ANK,4.6521739130434785,4.75
B00C81LYH2,4.166666666666667,4.560483870967742
B00FHB2XB6,3.033333333333333,3.5011933174224343
B00HL2EN6W,4.611111111111111,4.564102564102564
B00IVFC6QC,4.476190476190476,4.598591549295775
B00JDMY58Y,4.266666666666667,4.6182266009852215
