AVG Vine Star_Rating,AVG Non-Vine Star Rating: ,Pearson Corr,Kendall Corr,Spearmen Corr,Biserial Corr,P-value
3.9222560975609757,4.436429762085164,-0.13490437152816953,-0.20928297763929257,-0.22017566271050454,-0.13490437152816734,8.152282273418942e-31
Product ID,Avg Vine SR,Avg NonVine SR
B001V9LPWQ,4.733333333333333,4.548387096774194
B002ECJZ76,3.896551724137931,4.682539682539683
B002XMGGK6,3.466666666666667,4.3052631578947365
B0030Y11XS,3.9,4.166666666666667
B0034G4OVS,3.0689655172413794,3.796954314720812
B003DKJ5ZU,4.166666666666667,4.766990291262136
B003PIUBZS,4.166666666666667,4.5719063545150505
B003UESJEM,3.6,4.238636363636363
B003UESJH4,4.724137931034483,4.698630136986301
B0049P1VHS,4.5,4.745865970409051
B004BLJQOK,4.066666666666666,4.208888888888889
B004HW7JMO,4.103448275862069,4.631428571428572
B004LROMSO,3.566666666666667,3.94
B004UXUUDA,4.2,4.509090909090909
B0059XTUB8,4.133333333333334,4.078014184397163
B0059XTUVI,3.2,3.3076923076923075
B005C7SXMS,3.8333333333333335,4.411764705882353
B007549W62,2.7,3.2686567164179103
B008220DGE,3.433333333333333,3.3986013986013988
B00AZMFO6I,4.133333333333334,4.63562091503268
B00E1LR2B4,4.633333333333334,4.610526315789474
B00E1LT41K,4.066666666666666,4.520295202952029
