AVG Vine Star_Rating,AVG Non-Vine Star Rating: ,Pearson Corr,Kendall Corr,Spearmen Corr,Biserial Corr,P-value
4.104972375690608,4.16953125,-0.018289213612796267,-0.07030867035891177,-0.07521459109404449,-0.01828921361279618,0.48484628205414804
Product ID,Avg Vine SR,Avg NonVine SR
B002VPE1OS,4.133333333333334,3.9565217391304346
B003Y74AZ2,3.4,3.7982456140350878
B003Y74KAW,3.909090909090909,3.727272727272727
B003Y74KC0,4.0,3.8
B003Y74KCK,4.0,3.7115384615384617
B004I8WD6E,4.466666666666667,4.403940886699507
B004I8WD7S,4.433333333333334,4.472727272727273
B004SBBDB2,3.608695652173913,3.3548387096774195
B00511PTWM,4.2105263157894735,3.3492063492063493
B00DNCUX8G,3.8421052631578947,3.2333333333333334
